"director","target","File","round","peaks1","peaks2","gesture1","gesture2","range1","range2","transitions","pair"
"A",10,"pair04.eaf",1,50,3,12,31,0.092622,0.034938,3,4
"A",10,"pair05.eaf",1,26,3,9,19,0.143943,0.14832,1,5
"A",10,"pair07.eaf",1,61,3,15,27,0.119773,0.178208,4,7
"A",10,"pair08.eaf",1,101,27,47,60,0.114945,0.153317,5,8
"A",10,"pair09.eaf",1,42,7,6,18,0.121115,0.120412,3,9
"A",10,"pair10.eaf",1,105,59,76,70,0.138625,0.245499,15,10
"A",10,"pair11.eaf",1,53,28,33,18,0.180878,0,8,11
"A",10,"pair12.eaf",1,38,21,14,27,0.081799,0.118242,7,12
"A",10,"pair13.eaf",1,79,18,12,40,0.130908,0.11073,3,13
"A",10,"pair14.eaf",1,51,19,24,44,0.103349,0.098238,7,14
"A",10,"pair15.eaf",1,120,63,79,83,0.112734,0.194693,15,15
"A",10,"pair16.eaf",1,82,40,6,45,0.152153,0.162891,11,16
"A",10,"pair17.eaf",1,58,4,21,41,0.062644,0.048931,5,17
"A",10,"pair18.eaf",1,62,6,10,26,0.163103,0.079096,1,18
"A",10,"pair20.eaf",1,58,6,46,19,0.139451,0.13669,6,20
"A",10,"pair21.eaf",1,49,6,24,20,0.102385,0,7,21
"A",10,"pair22.eaf",1,42,13,23,27,0.073289,0.134416,6,22
"A",10,"pair23.eaf",1,79,16,51,44,0.108876,0.117824,14,23
"A",10,"pair24.eaf",1,244,126,136,135,0.194219,0.189321,49,24
"A",4,"pair04.eaf",1,72,4,35,21,0.112291,0.062036,3,4
"A",4,"pair05.eaf",1,37,14,4,32,0.142746,0.180722,10,5
"A",4,"pair07.eaf",1,29,7,14,16,0.130548,0.146459,9,7
"A",4,"pair08.eaf",1,80,11,40,30,0.098417,0.047489,7,8
"A",4,"pair09.eaf",1,45,28,12,17,0.126772,0.118558,7,9
"A",4,"pair10.eaf",1,43,9,28,15,0.13255,0.126584,3,10
"A",4,"pair11.eaf",1,34,18,22,4,0.150615,0,7,11
"A",4,"pair12.eaf",1,9,9,12,13,0,0.06131,2,12
"A",4,"pair13.eaf",1,167,64,79,91,0.372445,0.12467,21,13
"A",4,"pair14.eaf",1,73,42,35,27,0.115043,0.252997,15,14
"A",4,"pair15.eaf",1,96,41,46,39,0.141588,0.128466,18,15
"A",4,"pair16.eaf",1,61,18,14,43,0.102596,0.197143,11,16
"A",4,"pair17.eaf",1,52,2,10,44,0.071619,0.06127,1,17
"A",4,"pair18.eaf",1,26,4,3,18,0.144467,0.092194,1,18
"A",4,"pair20.eaf",1,58,31,7,31,0.175974,0.295679,14,20
"A",4,"pair21.eaf",1,39,15,18,12,0.111452,0.101673,11,21
"A",4,"pair22.eaf",1,44,13,17,23,0.075783,0.079943,9,22
"A",4,"pair23.eaf",1,52,13,32,25,0.12768,0.116682,7,23
"A",4,"pair24.eaf",1,38,14,0,35,0.186272,0.165508,7,24
"A",2,"pair04.eaf",1,60,6,18,17,0.08841,0.015407,5,4
"A",2,"pair05.eaf",1,39,19,17,37,0.15084,0.212886,10,5
"A",2,"pair07.eaf",1,27,3,10,9,0.119483,0.175783,4,7
"A",2,"pair08.eaf",1,53,49,35,34,0.118927,0.135509,11,8
"A",2,"pair09.eaf",1,47,14,13,7,0.135995,0.091204,7,9
"A",2,"pair10.eaf",1,40,10,30,14,0.120835,0.145457,3,10
"A",2,"pair11.eaf",1,29,16,15,11,0.185496,0,10,11
"A",2,"pair12.eaf",1,34,9,24,21,0,0,7,12
"A",2,"pair13.eaf",1,74,5,24,29,0.121288,0.067337,8,13
"A",2,"pair14.eaf",1,57,22,17,16,0.102855,0.194246,13,14
"A",2,"pair15.eaf",1,48,46,43,33,0.098532,0.136012,15,15
"A",2,"pair16.eaf",1,124,34,47,41,0.149248,0.246253,23,16
"A",2,"pair17.eaf",1,12,2,8,15,0,0.017334,1,17
"A",2,"pair18.eaf",1,39,6,17,15,0.181056,0.136205,7,18
"A",2,"pair20.eaf",1,35,10,26,3,0.144545,0.194002,10,20
"A",2,"pair21.eaf",1,51,8,3,17,0.116999,0.194307,7,21
"A",2,"pair22.eaf",1,47,27,15,23,0.079359,0.116705,14,22
"A",2,"pair23.eaf",1,30,15,6,10,0.081423,0.105596,7,23
"A",2,"pair24.eaf",1,33,23,25,12,0.186626,0.095374,12,24
"A",12,"pair04.eaf",1,59,3,16,28,0.072166,0.068807,3,4
"A",12,"pair05.eaf",1,72,28,22,38,0.138843,0.233572,12,5
"A",12,"pair07.eaf",1,34,2,12,14,0.108418,0,1,7
"A",12,"pair08.eaf",1,26,104,51,49,0.108764,0.109474,11,8
"A",12,"pair09.eaf",1,50,7,15,8,0.137889,0.136461,3,9
"A",12,"pair10.eaf",1,63,22,38,33,0.131342,0.221704,9,10
"A",12,"pair11.eaf",1,54,33,31,46,0.166692,0.122348,9,11
"A",12,"pair12.eaf",1,51,17,26,26,0.072113,0.097129,3,12
"A",12,"pair13.eaf",1,130,46,65,70,0.359154,0.111335,11,13
"A",12,"pair14.eaf",1,51,19,2,40,0.107007,0.118097,14,14
"A",12,"pair15.eaf",1,49,31,38,39,0.107968,0.126813,9,15
"A",12,"pair16.eaf",1,67,31,58,54,0.203376,0.25047,17,16
"A",12,"pair17.eaf",1,45,8,16,29,0,0.123591,3,17
"A",12,"pair18.eaf",1,33,14,11,10,0.166302,0.116697,3,18
"A",12,"pair20.eaf",1,70,8,35,16,0.167307,0.033003,8,20
"A",12,"pair21.eaf",1,82,17,21,44,0.119191,0.141992,14,21
"A",12,"pair22.eaf",1,49,18,19,22,0.078782,0.122192,11,22
"A",12,"pair23.eaf",1,74,17,39,41,0.125574,0.093879,9,23
"A",12,"pair24.eaf",1,44,11,30,23,0.186898,0.13237,5,24
"A",6,"pair04.eaf",1,119,22,45,37,0.124777,0.098345,14,4
"A",6,"pair05.eaf",1,30,7,3,15,0.131903,0.212087,3,5
"A",6,"pair07.eaf",1,54,7,26,43,0.37124,0.122338,7,7
"A",6,"pair08.eaf",1,131,60,84,48,0.124696,0.110677,19,8
"A",6,"pair09.eaf",1,65,35,36,30,0.137233,0.12141,11,9
"A",6,"pair10.eaf",1,66,55,8,38,0.365687,0.15581,17,10
"A",6,"pair11.eaf",1,170,84,120,167,0.176138,0.147394,40,11
"A",6,"pair12.eaf",1,37,16,18,38,0.119251,0.083377,11,12
"A",6,"pair13.eaf",1,92,27,32,37,0.122211,0.105678,13,13
"A",6,"pair14.eaf",1,82,25,27,26,0.109882,0.160326,15,14
"A",6,"pair15.eaf",1,82,11,42,44,0.109166,0.063663,8,15
"A",6,"pair16.eaf",1,72,29,24,38,0.118511,0.274373,17,16
"A",6,"pair17.eaf",1,48,4,30,6,0.093625,0.094643,5,17
"A",6,"pair18.eaf",1,33,4,1,17,0.188389,0.139789,1,18
"A",6,"pair20.eaf",1,50,13,9,28,0.1638,0,12,20
"A",6,"pair21.eaf",1,76,17,52,14,0.234889,0.136807,5,21
"A",6,"pair22.eaf",1,44,13,13,18,0.068012,0.096509,7,22
"A",6,"pair23.eaf",1,41,28,10,20,0.098495,0.088346,9,23
"A",6,"pair24.eaf",1,105,28,70,37,0.188744,0.216001,16,24
"A",14,"pair04.eaf",1,68,7,32,21,0.112332,0.076547,9,4
"A",14,"pair05.eaf",1,24,9,0,14,0.114344,0.194764,3,5
"A",14,"pair07.eaf",1,33,14,16,26,0.112751,0.066368,10,7
"A",14,"pair08.eaf",1,76,31,34,51,0.146017,0.111651,15,8
"A",14,"pair09.eaf",1,57,10,14,30,0.168724,0.121696,3,9
"A",14,"pair10.eaf",1,38,20,6,19,0.159803,0.126934,11,10
"A",14,"pair11.eaf",1,16,8,9,9,0.17902,0,3,11
"A",14,"pair12.eaf",1,15,3,7,10,0,0.032679,2,12
"A",14,"pair13.eaf",1,40,15,15,32,0.168938,0.076881,5,13
"A",14,"pair14.eaf",1,44,15,24,16,0.130984,0.272332,8,14
"A",14,"pair15.eaf",1,78,31,47,38,0.177967,0.205866,20,15
"A",14,"pair16.eaf",1,57,27,30,62,0.168036,0.273369,15,16
"A",14,"pair17.eaf",1,33,8,17,24,0.066111,0.094361,5,17
"A",14,"pair18.eaf",1,28,3,0,15,0.166548,0.119579,1,18
"A",14,"pair20.eaf",1,68,29,25,17,0.145937,0.105024,12,20
"A",14,"pair21.eaf",1,53,10,18,0,0.132237,0.13525,7,21
"A",14,"pair22.eaf",1,52,26,20,26,0.08674,0.120191,16,22
"A",14,"pair23.eaf",1,32,5,10,11,0.148075,0.146763,7,23
"A",14,"pair24.eaf",1,38,27,8,35,0.172612,0.099577,8,24
"A",16,"pair04.eaf",1,81,24,38,47,0.114501,0.108699,5,4
"A",16,"pair05.eaf",1,104,53,53,60,0.141865,0.211624,31,5
"A",16,"pair07.eaf",1,112,33,59,67,0.129422,0.126291,18,7
"A",16,"pair08.eaf",1,109,19,54,57,0.141557,0.138063,23,8
"A",16,"pair09.eaf",1,71,20,12,20,0.146361,0.133567,8,9
"A",16,"pair10.eaf",1,42,23,15,26,0.117908,0.150219,11,10
"A",16,"pair11.eaf",1,57,24,38,14,0.19911,0,10,11
"A",16,"pair12.eaf",1,81,13,64,31,0.077913,0.071266,4,12
"A",16,"pair13.eaf",1,171,31,65,28,0.348837,0.108282,7,13
"A",16,"pair14.eaf",1,80,38,31,39,0.13161,0.220391,13,14
"A",16,"pair15.eaf",1,72,16,34,46,0.132107,0.0584,12,15
"A",16,"pair16.eaf",1,98,23,21,57,0.124073,0.111477,11,16
"A",16,"pair17.eaf",1,51,8,28,37,0.001718,0.042612,7,17
"A",16,"pair18.eaf",1,55,4,9,24,0.178155,0.006449,5,18
"A",16,"pair20.eaf",1,57,8,40,28,0.1623,0.123275,12,20
"A",16,"pair21.eaf",1,54,8,38,20,0.147162,0.006066,4,21
"A",16,"pair22.eaf",1,66,14,21,11,0.066624,0.083338,9,22
"A",16,"pair23.eaf",1,76,29,28,32,0.152114,0.094632,11,23
"A",16,"pair24.eaf",1,68,21,43,55,0.157491,0.11434,9,24
"A",8,"pair04.eaf",1,62,4,45,39,0.122667,0.100255,3,4
"A",8,"pair05.eaf",1,42,7,11,18,0.13695,0.149153,6,5
"A",8,"pair07.eaf",1,23,6,13,21,0.137726,0.197647,6,7
"A",8,"pair08.eaf",1,83,13,37,46,0.131782,0.063597,5,8
"A",8,"pair09.eaf",1,51,14,27,17,0.119669,0.090321,5,9
"A",8,"pair10.eaf",1,53,22,5,52,0.149681,0.167858,9,10
"A",8,"pair11.eaf",1,72,25,8,9,0.178072,0.095149,5,11
"A",8,"pair12.eaf",1,50,3,25,24,0.074595,0.001095,1,12
"A",8,"pair13.eaf",1,140,14,47,71,0.135758,0.106874,12,13
"A",8,"pair14.eaf",1,59,63,38,59,0.164788,0.155398,9,14
"A",8,"pair15.eaf",1,99,35,35,54,0.102784,0.126551,13,15
"A",8,"pair16.eaf",1,90,30,20,63,0.162561,0.188667,17,16
"A",8,"pair17.eaf",1,77,2,34,35,0.067068,0.074661,3,17
"A",8,"pair18.eaf",1,18,3,15,17,0.149874,0.109137,1,18
"A",8,"pair20.eaf",1,53,7,29,30,0.151191,0.077685,8,20
"A",8,"pair21.eaf",1,60,12,36,25,0.120972,0.137791,5,21
"A",8,"pair22.eaf",1,91,45,35,30,0.117452,0.112873,32,22
"A",8,"pair23.eaf",1,40,12,15,21,0.17412,0.170214,7,23
"A",8,"pair24.eaf",1,58,45,70,29,0.191124,0.136846,16,24
"A",13,"pair04.eaf",2,36,4,13,12,0.123909,0.108629,4,4
"A",13,"pair05.eaf",2,32,12,12,11,0.101505,0.142802,7,5
"A",13,"pair07.eaf",2,29,5,12,15,0.106755,0,3,7
"A",13,"pair08.eaf",2,13,4,2,5,0.074618,0.081875,5,8
"A",13,"pair09.eaf",2,27,13,14,13,0.091874,0.116357,5,9
"A",13,"pair10.eaf",2,27,12,7,16,0.118361,0.09046,5,10
"A",13,"pair11.eaf",2,6,6,2,1,0.077662,0,1,11
"A",13,"pair12.eaf",2,10,4,11,10,0.140269,0.03463,3,12
"A",13,"pair13.eaf",2,65,19,20,25,0.173809,0.119051,9,13
"A",13,"pair14.eaf",2,37,16,17,25,0.112154,0.153915,5,14
"A",13,"pair15.eaf",2,30,9,5,20,0.071389,0.075294,3,15
"A",13,"pair16.eaf",2,29,7,5,17,0.378801,0.186662,5,16
"A",13,"pair17.eaf",2,15,16,3,8,0,0.053009,7,17
"A",13,"pair18.eaf",2,26,4,14,9,0.145123,0.161783,3,18
"A",13,"pair20.eaf",2,22,15,16,16,0.159927,0.163104,5,20
"A",13,"pair21.eaf",2,15,2,8,5,0.101879,0,3,21
"A",13,"pair22.eaf",2,27,19,8,23,0.112774,0.083219,13,22
"A",13,"pair23.eaf",2,16,9,9,11,0.070641,0.164765,7,23
"A",13,"pair24.eaf",2,26,2,5,22,0.120738,0.056277,3,24
"A",15,"pair04.eaf",2,31,2,14,20,0.107532,0.054677,3,4
"A",15,"pair05.eaf",2,28,9,29,25,0.129177,0.182008,4,5
"A",15,"pair07.eaf",2,28,3,6,13,0.137245,0.154306,3,7
"A",15,"pair08.eaf",2,53,48,24,27,0.114795,0.13354,9,8
"A",15,"pair09.eaf",2,26,4,10,10,0.107713,0.128954,1,9
"A",15,"pair10.eaf",2,31,5,21,25,0.160747,0.186789,3,10
"A",15,"pair11.eaf",2,51,24,19,7,0.130183,0.167492,10,11
"A",15,"pair12.eaf",2,14,8,10,8,0,0.074489,5,12
"A",15,"pair13.eaf",2,69,16,39,0,0.152277,0.074891,3,13
"A",15,"pair14.eaf",2,46,16,10,47,0.110748,0.116393,7,14
"A",15,"pair15.eaf",2,39,18,14,31,0.094702,0.084326,9,15
"A",15,"pair16.eaf",2,54,10,20,33,0.180131,0.079733,3,16
"A",15,"pair17.eaf",2,32,5,6,14,0,0.024908,3,17
"A",15,"pair18.eaf",2,28,11,12,2,0.116514,0.085858,5,18
"A",15,"pair20.eaf",2,25,5,6,8,0.121533,0.177857,4,20
"A",15,"pair21.eaf",2,30,11,14,11,0.168788,0.154077,3,21
"A",15,"pair22.eaf",2,25,6,5,17,0.050607,0.059608,4,22
"A",15,"pair23.eaf",2,26,8,17,17,0.053911,0.120045,5,23
"A",15,"pair24.eaf",2,37,3,14,32,0.118311,0.077455,3,24
"A",1,"pair04.eaf",2,36,3,2,19,0.120352,0.127758,1,4
"A",1,"pair05.eaf",2,47,10,32,30,0.127815,0.121953,4,5
"A",1,"pair07.eaf",2,19,2,1,9,0.104266,0,1,7
"A",1,"pair08.eaf",2,34,8,20,21,0.17438,0.033508,3,8
"A",1,"pair09.eaf",2,29,8,9,12,0.123807,0.093056,5,9
"A",1,"pair10.eaf",2,24,6,20,16,0.083143,0.143155,3,10
"A",1,"pair11.eaf",2,34,14,17,16,0.132355,0,5,11
"A",1,"pair12.eaf",2,10,2,7,8,0,0.102215,1,12
"A",1,"pair13.eaf",2,37,7,10,13,0.122659,0.101122,5,13
"A",1,"pair14.eaf",2,33,8,14,13,0.127487,0.146436,8,14
"A",1,"pair15.eaf",2,32,11,19,17,0.085188,0.127184,6,15
"A",1,"pair16.eaf",2,103,32,31,38,0.144185,0.206115,16,16
"A",1,"pair17.eaf",2,28,2,23,3,0,0.066638,2,17
"A",1,"pair18.eaf",2,41,13,10,7,0.124556,0.091626,7,18
"A",1,"pair20.eaf",2,19,5,3,4,0.192328,0.131317,2,20
"A",1,"pair21.eaf",2,32,7,16,18,0.129034,0,7,21
"A",1,"pair22.eaf",2,16,10,15,7,0.128658,0.134373,1,22
"A",1,"pair23.eaf",2,40,13,19,27,0.093098,0.11446,11,23
"A",1,"pair24.eaf",2,32,3,13,33,0.139213,0.102105,1,24
"A",5,"pair04.eaf",2,43,6,17,23,0.108908,0.068566,2,4
"A",5,"pair05.eaf",2,14,10,19,12,0.121478,0.165185,3,5
"A",5,"pair07.eaf",2,21,4,7,14,0.085134,0.091235,1,7
"A",5,"pair08.eaf",2,60,6,18,29,0.113176,0.00743,7,8
"A",5,"pair09.eaf",2,30,6,14,8,0.127687,0.089728,5,9
"A",5,"pair10.eaf",2,17,9,20,14,0.089312,0.069811,3,10
"A",5,"pair11.eaf",2,23,13,1,4,0.123091,0.154542,6,11
"A",5,"pair12.eaf",2,22,1,18,5,0,0,1,12
"A",5,"pair13.eaf",2,167,29,45,54,0.199839,0.115372,11,13
"A",5,"pair14.eaf",2,75,36,33,78,0.154908,0.110224,11,14
"A",5,"pair15.eaf",2,46,25,30,25,0.070468,0.104869,16,15
"A",5,"pair16.eaf",2,48,19,15,23,0.150276,0.263078,7,16
"A",5,"pair17.eaf",2,54,2,11,31,0.057304,0.036769,2,17
"A",5,"pair18.eaf",2,28,4,11,17,0.158913,0.086912,3,18
"A",5,"pair20.eaf",2,30,17,14,10,0.13162,0.14201,6,20
"A",5,"pair21.eaf",2,21,3,11,14,0.132812,0,4,21
"A",5,"pair22.eaf",2,55,39,22,47,0.073528,0.110655,13,22
"A",5,"pair23.eaf",2,55,23,21,43,0.118715,0.070898,13,23
"A",5,"pair24.eaf",2,45,24,18,46,0.149642,0.149421,7,24
"A",9,"pair04.eaf",2,67,6,38,32,0.122635,0.050808,8,4
"A",9,"pair05.eaf",2,24,8,20,9,0.140319,0.127332,5,5
"A",9,"pair07.eaf",2,56,22,12,32,0.11792,0.140367,13,7
"A",9,"pair08.eaf",2,46,27,32,29,0.104653,0.098771,9,8
"A",9,"pair09.eaf",2,50,3,9,31,0.143816,0.101546,3,9
"A",9,"pair10.eaf",2,26,16,12,21,0.144418,0.1707,5,10
"A",9,"pair11.eaf",2,49,24,16,5,0.169486,0,11,11
"A",9,"pair12.eaf",2,45,3,20,30,0.121824,0,3,12
"A",9,"pair13.eaf",2,77,5,22,11,0.266152,0.124344,5,13
"A",9,"pair14.eaf",2,85,49,39,49,0.125458,0.141598,15,14
"A",9,"pair15.eaf",2,55,28,36,41,0.093726,0.143259,11,15
"A",9,"pair16.eaf",2,170,45,65,73,0.191486,0.228993,17,16
"A",9,"pair17.eaf",2,30,6,24,17,0,0.118985,6,17
"A",9,"pair18.eaf",2,23,2,5,4,0.159965,0.105956,4,18
"A",9,"pair20.eaf",2,40,3,17,15,0.13491,0.147496,1,20
"A",9,"pair21.eaf",2,51,10,20,21,0.149348,0,4,21
"A",9,"pair22.eaf",2,61,13,16,22,0.068629,0.129677,12,22
"A",9,"pair23.eaf",2,37,13,20,24,0.091307,0.101381,7,23
"A",9,"pair24.eaf",2,43,10,20,18,0.149034,0.083273,7,24
"A",3,"pair04.eaf",2,43,4,14,16,0.135271,0.025616,6,4
"A",3,"pair05.eaf",2,36,4,26,18,0.105544,0.14751,5,5
"A",3,"pair07.eaf",2,20,8,10,19,0.124959,0.148921,5,7
"A",3,"pair08.eaf",2,31,13,27,27,0.154762,0.212174,9,8
"A",3,"pair09.eaf",2,14,6,3,4,0.110664,0.034764,1,9
"A",3,"pair10.eaf",2,23,12,14,4,0.123229,0.152838,3,10
"A",3,"pair11.eaf",2,33,11,12,10,0.142604,0,3,11
"A",3,"pair12.eaf",2,10,3,9,4,0,0.091175,1,12
"A",3,"pair13.eaf",2,35,8,16,13,0.106534,0.146629,7,13
"A",3,"pair14.eaf",2,49,9,4,22,0.094455,0.157482,6,14
"A",3,"pair15.eaf",2,37,16,26,24,0.108408,0.221159,8,15
"A",3,"pair16.eaf",2,25,20,17,17,0.134613,0.152604,7,16
"A",3,"pair17.eaf",2,6,6,9,3,0,0.106863,1,17
"A",3,"pair18.eaf",2,32,12,10,23,0.170536,0.183729,5,18
"A",3,"pair20.eaf",2,22,9,14,5,0.14985,0.265784,6,20
"A",3,"pair21.eaf",2,69,9,10,31,0.145574,0.196956,8,21
"A",3,"pair22.eaf",2,18,8,4,6,0.124792,0.066559,2,22
"A",3,"pair23.eaf",2,21,11,15,7,0.070547,0.084949,3,23
"A",3,"pair24.eaf",2,72,22,45,34,0.158412,0.140401,7,24
"A",11,"pair04.eaf",2,34,1,4,22,0.112569,0.035664,1,4
"A",11,"pair05.eaf",2,76,32,32,44,0.148071,0.187279,17,5
"A",11,"pair07.eaf",2,33,8,12,15,0.128474,0.160658,4,7
"A",11,"pair08.eaf",2,2,7,26,7,0,0.073926,5,8
"A",11,"pair09.eaf",2,109,27,47,35,0.16133,0.135995,9,9
"A",11,"pair10.eaf",2,36,7,24,25,0.139466,0.024419,2,10
"A",11,"pair11.eaf",2,46,10,12,12,0.15154,0,3,11
"A",11,"pair12.eaf",2,35,27,23,30,0,0.081383,11,12
"A",11,"pair13.eaf",2,44,4,23,6,0.139131,0.040269,3,13
"A",11,"pair14.eaf",2,40,17,15,25,0.14979,0.00787,3,14
"A",11,"pair15.eaf",2,53,40,26,48,0.084469,0.180729,11,15
"A",11,"pair16.eaf",2,54,13,42,14,0.146489,0.24654,7,16
"A",11,"pair17.eaf",2,34,2,13,19,0,0.029416,1,17
"A",11,"pair18.eaf",2,22,3,3,14,0.173274,0.104536,4,18
"A",11,"pair20.eaf",2,21,3,17,16,0.115441,0.002725,2,20
"A",11,"pair21.eaf",2,56,7,7,35,0.146737,0.130999,6,21
"A",11,"pair22.eaf",2,24,8,9,13,0.054017,0.18663,4,22
"A",11,"pair23.eaf",2,37,8,17,13,0.094326,0.17004,5,23
"A",11,"pair24.eaf",2,27,1,7,14,0.143865,0.095409,1,24
"A",7,"pair04.eaf",2,29,3,9,24,0.120039,0.126983,1,4
"A",7,"pair05.eaf",2,23,7,4,13,0.10791,0.162867,3,5
"A",7,"pair07.eaf",2,14,6,8,15,0.103621,0,2,7
"A",7,"pair08.eaf",2,30,3,23,17,0.12147,0.113879,10,8
"A",7,"pair09.eaf",2,36,13,10,20,0.146107,0.111585,3,9
"A",7,"pair10.eaf",2,15,6,16,8,0.085489,0.074898,3,10
"A",7,"pair11.eaf",2,19,30,17,1,0.1161,0,3,11
"A",7,"pair12.eaf",2,10,6,6,7,0.097731,0,3,12
